symbol
NVDA
AAPL
MSFT
AMZN
META
GOOGL
TSLA
AVGO
GOOG
BRK.B
JPM
LLY
V
UNH
XOM
MA
NFLX
COST
HD
WMT
PG
JNJ
CRM
BAC
ABBV
ORCL
CVX
WFC
CSCO
MRK
KO
NOW
ACN
TMO
GE
ISRG
ABT
LIN
IBM
PEP
MCD
DIS
GS
AMD
CAT
PM
QCOM
ADBE
TXN
AXP
